"1","2","3","4","5","6"
"덴마크","개인 전체","35~39세",84.96482,88.44525,3.93512
"덴마크","개인 전체","35~44세",85.69388,88.6666,3.35269
"덴마크","개인 전체","40~44세",86.34791,88.86517,2.83267
"덴마크","개인 전체","45~49세",86.63576,88.98239,2.63718
"덴마크","개인 전체","45~54세",85.40611,87.86647,2.80012
"덴마크","개인 전체","50~54세",84.2436,86.8115,2.95802
"덴마크","개인 전체","55~59세",82.69238,84.48204,2.11839
"덴마크","개인 전체","55~64세",71.83912,73.61748,2.41568
"덴마크","개인 전체","60~64세",59.68746,61.45318,2.87328
"덴마크","개인 전체","65~69세",22.08637,22.08637,0
"덴마크","개인 전체","65세 이상",8.55926,8.55926,0
"덴마크","개인 전체","총계",59.35834,62.30289,4.72618
"독일","남자","15~19세",30.04134,32.48065,7.51005
"독일","남자","15~24세",50.64176,54.22101,6.60121
"독일","남자","15~64세",80.48098,83.4847,3.59793
"독일","남자","20~24세",68.99178,73.58642,6.24388
"독일","남자","25~29세",83.98112,88.02398,4.59291
"독일","남자","25~34세",86.91216,90.82671,4.30991
"독일","남자","25~54세",89.56906,92.65066,3.32604
"독일","남자","25~64세",86.23076,89.12358,3.24585
"독일","남자","30~34세",89.63335,93.42877,4.06238
"독일","남자","35~39세",90.97377,94.28767,3.51467
"독일","남자","35~44세",91.13846,94.20214,3.25224
"독일","남자","40~44세",91.31231,94.11186,2.9747
"독일","남자","45~49세",91.14802,93.659,2.68098
"독일","남자","45~54세",90.55612,92.92581,2.5501
"독일","남자","50~54세",90.08792,92.34586,2.4451
"독일","남자","55~59세",85.61561,88.02222,2.7341
"독일","남자","55~64세",77.0735,79.44847,2.98932
"독일","남자","60~64세",66.62699,68.96326,3.3877
"독일","남자","65~69세",22.09621,22.33212,1.05638
"독일","남자","65세 이상",10.65273,10.73225,0.7409
"독일","남자","총계",65.07585,67.43445,3.49761
"독일","여자","15~19세",25.28068,27.00544,6.38674
"독일","여자","15~24세",46.13808,48.44102,4.75411
"독일","여자","15~64세",72.80547,74.88339,2.77487
"독일","여자","20~24세",65.4304,68.26813,4.15674
"독일","여자","25~29세",77.10751,79.87337,3.4628
"독일","여자","25~34세",77.27467,79.97821,3.38035
"독일","여자","25~54세",81.13116,83.31103,2.61655
"독일","여자","25~64세",77.60595,79.64336,2.55817
"독일","여자","30~34세",77.42584,80.07303,3.30597
"독일","여자","35~39세",80.03284,82.295,2.74884
"독일","여자","35~44세",81.53645,83.8218,2.72643
"독일","여자","40~44세",83.1227,85.4325,2.70365
"독일","여자","45~49세",84.83498,86.52698,1.95545
"독일","여자","45~54세",83.94216,85.60653,1.94421
"독일","여자","50~54세",83.23169,84.87407,1.93508
